original_name,WPFG,source,chrono
Nicotiana megalosiphon subsp. megalosiphon,Tdr,Bowen_2019,11
Nitraria billardierei,Tdr,Bowen_2019,11
Nymphoides crenata,ARf,Bowen_2019,11
Oenothera speciosa,Tdr,Bowen_2019,11
Onopordum acanthium subsp. acanthium,Tda,Bowen_2019,11
Opuntia sp.,Tdr,Bowen_2019,11
Opuntia stricta,Tdr,Bowen_2019,11
Osteocarpum acropterum,Tdr,Bowen_2019,11
Osteocarpum acropterum var. deminuta,Tdr,Bowen_2019,11
Osteocarpum sp.,Tdr,Bowen_2019,11
Ottelia ovalifolia subsp. ovalifolia,ARf,Bowen_2019,11
Ottelia sp.,ARf,Bowen_2019,11
Oxalis chnoodes,Tdr,Bowen_2019,11
Oxalis corniculata,Tdr,Bowen_2019,11
Oxalis perennans,Tda,Bowen_2019,11
Oxalis pes-caprae,Tdr,Bowen_2019,11
Oxalis sp.,Tda,Bowen_2019,11
Oxalis thompsoniae,Tda,Bowen_2019,11
Panicum antidotale,Tdr,Bowen_2019,11
Panicum coloratum var. makarikariense,Tdr,Bowen_2019,11
Panicum decompositum,Tdr,Bowen_2019,11
Panicum decompositum var. tenuius,Tdr,Bowen_2019,11
